WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),Vitamin D (D2 + D3) (mcg),"Iron
(mg)",Sodium (mg),Potassium (mg),Sodium (mg)
Eggs and omelets,207,9.43,6.38,2.44,0.1,16.01,1.4,0.76,314,131,314
Cheese sandwiches,283,12.17,32.58,5.71,1.4,11.61,2.7,2.37,807,190,807
"Coleslaw, non-lettuce salads",139,7.17,3.86,2.32,0.8,10.87,0.1,0.31,209,182,209
Soups,67,2.05,8.1,4.3,1.1,3.04,0.5,0.08,369,96,369
"Beef, excludes ground",215,27.13,0,0,0,11.29,0.3,1.91,363,352,363
Ground beef,262,25.62,0,0,0,17.04,0,2.4,382,304,382
Baby food: meat and dinners,112,12.58,1.25,0,0,5.99,0.5,1.1,47,155,47
Cold cuts and cured meats,251,18.17,0.47,0,0,18.98,0.1,1.86,973,145,973
Bacon,449,31.3,1.4,0,0,34.4,0.2,3.14,1500,412,1500
Pork,192,27.14,0,0,0,8.67,0.7,0.79,348,402,348
Meat mixed dishes,190,18.37,7.82,0,1,9.04,0.4,0.73,414,293,414
Butter and animal fats,750,2.68,0,0,0,81.93,2.1,0.17,2039,47,2039
"Lamb, goat, game",292,24.32,0,0,0,20.77,0.1,1.86,379,308,379
"Turkey, duck, other poultry",174,25.93,0,0,0,7.01,0.1,3.4,402,320,402
"Chicken, whole pieces",164,26.79,0,0,0,6.36,0,0.73,345,279,345
"Chicken patties, nuggets and tenders",287,14.85,12.84,0,0.3,19.58,0.3,0.95,532,261,532
Liver and organ meats,174,26.31,5.12,0,0,4.64,1.2,6.12,384,348,384
Frankfurters,310,11.7,2.89,1.26,0,28,0.9,1.14,828,326,828
Sausages,341,13.3,3.37,1,0,28.7,0.1,1.55,866,263,866
Fish,94,17.22,0,0,0,2.34,1.3,0.32,83,272,83
Shellfish,220,14.38,11.72,0.2,0.5,12.4,0.2,2.04,387,241,387
Stir-fry and soy-based sauce mixtures,187,15.86,3.35,1.05,0.5,12.38,0,1.51,333,211,333
Poultry mixed dishes,174,13.19,6.92,1.6,1.1,10.62,0.1,1.02,664,290,664
"Pasta sauces, tomato-based",75,6.29,6.54,4.47,1.5,2.62,0,0.82,410,314,410
Seafood mixed dishes,116,17.05,2.75,1.38,0,3.64,1.2,0.44,343,217,343
Soy-based condiments,35,5.06,3.64,3.64,0,0.01,0,0.78,7851,288,7851
Rice mixed dishes,145,8.5,12.19,1.69,1,6.79,0.1,1.12,98,229,98
Fried rice and lo/chow mein,129,10.78,11.17,1.55,1.5,4.89,0,1.87,328,204,328
Burritos and tacos,181,12.99,6.33,4.06,0.9,11.32,0.1,1.16,472,273,472
Other dark green vegetables,47,4.91,4.68,0.84,3.6,1.41,0.1,1.1,370,303,370
Deli and cured meat sandwiches,293,12.82,33.81,8.87,1.9,12.03,0.4,2.05,590,241,590
Meat and BBQ sandwiches,238,15.34,24.86,9.07,0.8,8.12,0.4,1.94,561,233,561
Burgers,298,16.21,24.99,3.94,0.9,14.38,0.7,2.55,513,190,513
Chicken fillet sandwiches,245,12.46,18.27,3.18,1,13.71,0,1.46,479,176,479
Seafood sandwiches,235,14.46,25.7,3.13,0.9,8.15,0.3,1.89,462,229,462
Frankfurter sandwiches,250,8.57,26.96,7.54,1,12.02,0.4,1.9,668,125,668
Egg/breakfast sandwiches,260,9.98,17.07,2.45,0.8,16.62,1.2,1.78,411,109,411
"Beans, peas, legumes",189,8.34,23.78,0.31,8.3,7.08,0,1.96,217,386,217
"Bean, pea, legume dishes",94,3.08,12.61,3.53,3.4,3.85,0,0.9,350,211,350
"Tortilla, corn, other chips",448,14.6,53.12,1.08,9.7,21.58,0,4.01,410,547,410
Vegetable dishes,86,4.32,11.8,2.08,4,2.71,0,1.68,207,234,207
Processed soy products,61,7.17,1.18,0.7,0.2,3.69,0,1.11,8,120,8
Mustard and other condiments,77,0,19.17,10.03,0,0,0,5.3,1300,800,1300
Vegetable sandwiches/burgers,224,12.96,30.82,3.94,3.5,5.2,0,2.88,534,236,534
